银川新华联,银川市,通达北街以西北京路以北新华联广场1层、4层,Wi-Fi
沧州高铁站,沧州市,北京路西端头高铁站候车大厅二楼,"Wi-Fi,点唱机"
北海宁春城,北海市,北京路西、西南大道北和安.宁春城一期,"24小时,Wi-Fi,点唱机,店内参观,生日餐会"
宣堡服务区北,泰州市,京沪高速公路宣堡服务区北楼1+2(往北京方向),Wi-Fi
西郊百益餐厅,拉萨市,北京中路46号西郊百益超市一层,"Wi-Fi,点唱机"
仰忠汇,广州市,越秀区北京路168号二层自编B201/L201号铺,"Wi-Fi,点唱机,店内参观,生日餐会"
南昌甜品站,兰州市,南昌路982号北京华联5层,
北京肯德基有限公司紫码路餐厅,北京市,阎村镇乐活家园45号楼一层109号商铺、二层109号商铺、二层108号商铺,"Wi-Fi,店内参观,生日餐会"
拉萨功德林天街,拉萨市,"北京中路47号1,2层","Wi-Fi,机场店"
橘洲一号,茂名市,北京东三路18号橘洲一号（2栋负一楼商铺）首层,"24小时,Wi-Fi,点唱机,店内参观,生日餐会"
十堰远洋国际,十堰市,五堰街办北京北路83A号1幢2-1,"Wi-Fi,点唱机"
新机场2号,北京市,大兴区北京大兴国际机场国际抵港区域,"Wi-Fi,机场店"
北京站精选3外卖点,北京市,北京站内一层大厅中间区域LED显示屏下,精选店
胜利门,怀化市,沅陵县辰州中路北京公馆2栋1层,"Wi-Fi,店内参观,生日餐会"
观山湖印象城,贵阳市,北京西路与金阳南路交界处西南角,"Wi-Fi,点唱机"
沭阳万达,宿迁市,北京南路（原新城路22号）万达广场一层1030号商铺,Wi-Fi
白云独立外卖点,昆明市,北京路延长线大白庙村D-037负一层,Wi-Fi
北京南站九,北京市,丰台区北京南站高架层东南角,"Wi-Fi,精选店"
